researcher_id,researcher_name,paper_id,Bing Liu,http://arxiv.org/abs/2012.12104v1
Marcos Quiñones-Grueiro,Marcos Quiñones-Grueiro,http://arxiv.org/abs/2008.04407v1
Gautam Biswas,Gautam Biswas,http://arxiv.org/abs/2008.04407v1
Paolo Felli,Paolo Felli,http://arxiv.org/abs/2008.04774v2
Alessandro Gianola,Alessandro Gianola,http://arxiv.org/abs/2008.04774v2
Marco Montali,Marco Montali,http://arxiv.org/abs/2008.04774v2
Lucas Y. Tian,Lucas Y. Tian,http://arxiv.org/abs/2008.03519v1
Kevin Ellis,Kevin Ellis,http://arxiv.org/abs/2008.03519v1
Marta Kryven,Marta Kryven,http://arxiv.org/abs/2008.03519v1
Joshua B. Tenenbaum,Joshua B. Tenenbaum,http://arxiv.org/abs/2008.03519v1
Dagnachew Azene Temesgene,Dagnachew Azene Temesgene,http://arxiv.org/abs/2008.04105v1
Marco Miozzo,Marco Miozzo,http://arxiv.org/abs/2008.04105v1
